clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1253,NA,NA,NA,NA,1,NA,1,1,1,NA
1107,NA,NA,NA,1,NA,NA,1,NA,1,NA
1454,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1417,NA,NA,NA,NA,NA,NA,1,1,1,NA
1045,NA,NA,NA,1,1,NA,1,1,1,NA
1312,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1464,NA,NA,NA,NA,1,NA,1,NA,NA,NA
1014,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1330,1,1,NA,NA,1,NA,NA,NA,NA,1
1226,1,NA,NA,NA,NA,NA,1,NA,1,NA
1470,1,1,1,NA,NA,NA,NA,NA,1,NA
1184,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1353,1,NA,1,NA,NA,NA,1,NA,1,NA
1299,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1461,1,1,NA,NA,NA,NA,1,1,1,NA
1185,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1449,1,NA,NA,NA,NA,NA,1,NA,1,NA
1303,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1492,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1062,NA,NA,NA,NA,1,NA,NA,NA,1,1
1167,1,1,NA,NA,NA,NA,1,NA,1,NA
1386,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,1,NA,NA,NA,NA,NA,1,NA,1,NA
1498,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1310,1,1,1,NA,NA,NA,1,1,1,NA
1033,1,NA,1,NA,NA,NA,NA,NA,1,NA
1451,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1230,NA,NA,NA,1,NA,NA,1,1,1,NA
1049,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1399,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1251,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1522,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1304,NA,NA,NA,1,NA,NA,NA,NA,NA,1
1402,1,NA,NA,NA,1,NA,NA,NA,NA,NA
1103,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1105,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1048,1,NA,NA,NA,NA,NA,1,NA,1,NA
1123,NA,NA,NA,NA,1,NA,1,NA,1,NA
1380,NA,NA,NA,1,1,NA,NA,NA,1,NA
1019,NA,NA,NA,NA,1,NA,1,NA,1,NA
1019,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1229,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1186,1,NA,1,NA,NA,NA,1,NA,1,NA
1379,1,NA,1,NA,NA,NA,1,NA,1,NA
1052,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1160,NA,NA,NA,NA,NA,1,1,NA,NA,NA
1017,1,1,NA,NA,1,NA,1,1,1,NA
1262,1,NA,NA,NA,NA,NA,1,1,1,NA
1004,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1474,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1106,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1122,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1395,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1166,1,1,NA,NA,NA,NA,NA,NA,1,1
1112,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1346,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1171,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1034,1,NA,1,NA,NA,NA,1,NA,1,NA
1405,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1227,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1357,NA,NA,NA,1,1,NA,NA,NA,NA,1
1357,NA,NA,NA,1,1,NA,NA,NA,NA,1
1284,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1397,1,NA,NA,NA,NA,NA,1,NA,1,NA
1491,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1223,NA,NA,1,1,NA,NA,1,NA,NA,NA
1129,NA,NA,NA,NA,NA,1,1,NA,NA,NA
1211,1,1,1,NA,NA,NA,1,NA,1,NA
1211,NA,1,1,NA,NA,NA,NA,1,1,NA
1467,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1458,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1308,1,NA,1,NA,NA,NA,1,NA,1,NA
1392,NA,NA,NA,NA,1,NA,1,NA,1,NA
1331,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1130,NA,1,NA,NA,NA,NA,1,1,1,NA
1455,NA,NA,NA,1,1,NA,NA,1,1,NA
1028,NA,NA,NA,1,NA,NA,NA,NA,1,NA
1025,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1075,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1521,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1036,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1359,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1301,NA,NA,NA,NA,1,NA,1,NA,NA,NA
1263,NA,NA,NA,NA,1,NA,1,NA,1,1
1064,1,NA,1,NA,NA,NA,1,NA,1,NA
1039,NA,NA,NA,NA,1,NA,NA,NA,1,1
1260,NA,NA,NA,NA,1,NA,1,NA,1,NA
1502,NA,NA,NA,NA,NA,1,NA,NA,1,NA
1376,NA,NA,NA,1,NA,NA,1,NA,1,NA
1268,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1414,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1254,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1507,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1044,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1002,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1429,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1255,1,NA,1,NA,NA,NA,1,NA,NA,NA
1021,1,NA,NA,NA,1,NA,NA,NA,1,NA
1021,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1369,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1441,1,1,1,NA,NA,NA,1,1,NA,NA
1138,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1029,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1440,1,NA,NA,1,NA,NA,NA,NA,1,NA
1295,NA,1,NA,NA,NA,NA,NA,NA,1,NA
1224,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1077,NA,NA,NA,NA,NA,NA,1,1,1,NA
1077,NA,NA,NA,NA,NA,NA,1,1,1,NA
1077,NA,NA,NA,NA,NA,NA,1,1,1,NA
1077,NA,NA,NA,NA,NA,NA,NA,1,1,1
