clean.id,Q3.18_1,Q3.18_2,Q3.18_3,Q3.18_4,Q3.18_5,Q3.18_6,Q3.21_1,Q3.21_2,Q3.21_3,Q3.21_4
1128,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1012,1,NA,NA,NA,NA,NA,1,1,1,NA
1132,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1314,1,NA,NA,1,NA,NA,NA,NA,NA,1
1015,1,1,NA,NA,NA,NA,1,NA,1,NA
1238,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1238,NA,NA,NA,1,NA,NA,NA,1,NA,NA
1118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1438,1,NA,NA,1,NA,NA,1,NA,1,NA
1056,1,1,1,1,NA,NA,1,NA,NA,NA
1435,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1065,NA,NA,1,NA,NA,NA,NA,NA,1,NA
1054,NA,NA,NA,NA,NA,1,1,NA,NA,NA
1181,1,1,NA,NA,NA,NA,NA,NA,1,NA
1016,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1294,NA,NA,NA,NA,1,NA,NA,NA,NA,1
1042,1,NA,NA,NA,NA,NA,1,1,1,NA
1050,NA,NA,NA,NA,1,NA,1,NA,1,NA
1090,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1372,1,NA,NA,NA,NA,NA,1,NA,1,NA
1385,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1114,1,1,1,NA,NA,NA,NA,NA,NA,1
1114,1,1,1,NA,NA,NA,NA,NA,NA,1
1114,1,1,1,NA,NA,NA,NA,NA,1,NA
1409,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1322,1,NA,1,NA,NA,NA,1,NA,1,NA
1300,1,1,NA,1,NA,NA,1,NA,1,1
1368,NA,NA,NA,1,NA,NA,1,NA,1,NA
1398,1,1,NA,NA,1,NA,1,1,1,NA
1398,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
1377,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1194,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1113,NA,NA,NA,NA,1,NA,1,1,1,NA
1100,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1199,1,NA,NA,NA,NA,NA,1,NA,1,NA
1196,1,1,1,NA,NA,NA,1,NA,1,NA
1485,NA,1,NA,NA,NA,NA,NA,NA,1,NA
1378,1,NA,NA,NA,NA,NA,NA,NA,1,1
1248,1,NA,NA,NA,NA,NA,1,NA,1,NA
1404,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165,NA,NA,NA,NA,1,NA,1,NA,NA,1
1355,1,1,1,NA,NA,NA,1,NA,1,NA
1182,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1351,NA,NA,NA,1,NA,NA,1,NA,1,NA
1466,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1243,NA,NA,1,NA,NA,NA,1,1,1,NA
1333,1,NA,NA,NA,NA,NA,NA,NA,1,NA
1375,1,1,1,NA,NA,NA,1,1,1,NA
1375,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1124,1,1,1,NA,NA,NA,1,NA,NA,NA
1124,1,1,1,NA,NA,NA,1,NA,1,NA
1183,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1505,1,1,1,NA,NA,NA,NA,NA,1,NA
1505,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1469,NA,NA,NA,NA,1,NA,1,NA,1,NA
1511,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1213,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1367,NA,NA,NA,NA,1,NA,NA,NA,1,NA
1216,1,NA,NA,1,NA,NA,NA,NA,NA,NA
1216,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1164,1,NA,1,NA,NA,NA,1,NA,NA,NA
1085,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1031,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1423,1,NA,1,NA,NA,NA,1,NA,1,NA
1087,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
1473,1,NA,NA,NA,NA,NA,1,NA,1,1
1221,1,NA,NA,NA,NA,NA,NA,NA,NA,1
1221,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1365,1,1,1,NA,NA,NA,1,NA,1,NA
1137,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
